COD_DANE;COD_DEPARTAMENTO;DEPARTAMENTO;COD_MUNICIPIO;MUNICIPIO;FECHA1erFIS
91001;91;AMAZONAS;001;LETICIA;31/03/20
91405;91;AMAZONAS;405;LA CHORRERA;15/06/20
91407;91;AMAZONAS;407;LA PEDRERA;17/07/20
91540;91;AMAZONAS;540;PUERTO NARIÑO;15/04/20
91669;91;AMAZONAS;669;PUERTO SANTANDER;24/06/20
91798;91;AMAZONAS;798;TARAPACÁ;21/06/20
05001;05;ANTIOQUIA;001;MEDELLÍN;29/02/20
05002;05;ANTIOQUIA;002;ABEJORRAL;5/07/20
05004;05;ANTIOQUIA;004;ABRIAQUÍ;6/07/20
05021;05;ANTIOQUIA;021;ALEJANDRÍA;26/07/20
05030;05;ANTIOQUIA;030;AMAGÁ;9/04/20
05031;05;ANTIOQUIA;031;AMALFI;4/07/20
05034;05;ANTIOQUIA;034;ANDES;4/04/20
05036;05;ANTIOQUIA;036;ANGELÓPOLIS;27/07/20
05038;05;ANTIOQUIA;038;ANGOSTURA;18/03/20
05040;05;ANTIOQUIA;040;ANORÍ;6/07/20
05042;05;ANTIOQUIA;042;SANTA FÉ DE ANTIOQUIA;5/06/20
05044;05;ANTIOQUIA;044;ANZÁ;10/06/20
05045;05;ANTIOQUIA;045;APARTADÓ;14/03/20
05051;05;ANTIOQUIA;051;ARBOLETES;10/05/20
05055;05;ANTIOQUIA;055;ARGELIA;16/07/20
05059;05;ANTIOQUIA;059;ARMENIA;1/07/20
05079;05;ANTIOQUIA;079;BARBOSA;15/04/20
05086;05;ANTIOQUIA;086;BELMIRA;9/07/20
05088;05;ANTIOQUIA;088;BELLO;9/03/20
05091;05;ANTIOQUIA;091;BETANIA;28/07/20
05093;05;ANTIOQUIA;093;BETULIA;23/06/20
05101;05;ANTIOQUIA;101;CIUDAD BOLÍVAR;20/06/20
05107;05;ANTIOQUIA;107;BRICEÑO;19/05/20
05113;05;ANTIOQUIA;113;BURITICÁ;1/04/20
05120;05;ANTIOQUIA;120;CÁCERES;10/03/20
05125;05;ANTIOQUIA;125;CAICEDO;24/06/20
05129;05;ANTIOQUIA;129;CALDAS;20/03/20
05134;05;ANTIOQUIA;134;CAMPAMENTO;2/07/20
05138;05;ANTIOQUIA;138;CAÑASGORDAS;29/05/20
05142;05;ANTIOQUIA;142;CARACOLÍ;18/06/20
05145;05;ANTIOQUIA;145;CARAMANTA;24/07/20
05147;05;ANTIOQUIA;147;CAREPA;10/03/20
05148;05;ANTIOQUIA;148;EL CARMEN DE VIBORAL;24/04/20
05150;05;ANTIOQUIA;150;CAROLINA;14/07/20
05154;05;ANTIOQUIA;154;CAUCASIA;9/05/20
05172;05;ANTIOQUIA;172;CHIGORODÓ;27/05/20
05190;05;ANTIOQUIA;190;CISNEROS;7/05/20
05197;05;ANTIOQUIA;197;COCORNÁ;30/03/20
05206;05;ANTIOQUIA;206;CONCEPCIÓN;1/07/20
05209;05;ANTIOQUIA;209;CONCORDIA;6/07/20
05212;05;ANTIOQUIA;212;COPACABANA;29/03/20
05234;05;ANTIOQUIA;234;DABEIBA;2/06/20
05237;05;ANTIOQUIA;237;DONMATÍAS;26/03/20
05240;05;ANTIOQUIA;240;EBÉJICO;20/06/20
05250;05;ANTIOQUIA;250;EL BAGRE;8/05/20
05264;05;ANTIOQUIA;264;ENTRERRÍOS;1/07/20
05266;05;ANTIOQUIA;266;ENVIGADO;11/03/20
05282;05;ANTIOQUIA;282;FREDONIA;7/07/20
05284;05;ANTIOQUIA;284;FRONTINO;15/03/20
05306;05;ANTIOQUIA;306;GIRALDO;28/05/20
05308;05;ANTIOQUIA;308;GIRARDOTA;29/05/20
05310;05;ANTIOQUIA;310;GÓMEZ PLATA;6/07/20
05313;05;ANTIOQUIA;313;GRANADA;6/04/20
05315;05;ANTIOQUIA;315;GUADALUPE;22/07/20
05318;05;ANTIOQUIA;318;GUARNE;13/03/20
05321;05;ANTIOQUIA;321;GUATAPÉ;10/03/20
05347;05;ANTIOQUIA;347;HELICONIA;26/06/20
05353;05;ANTIOQUIA;353;HISPANIA;7/06/20
05360;05;ANTIOQUIA;360;ITAGÜÍ;6/03/20
05361;05;ANTIOQUIA;361;ITUANGO;2/05/20
05364;05;ANTIOQUIA;364;JARDÍN;25/07/20
05368;05;ANTIOQUIA;368;JERICÓ;21/05/20
05376;05;ANTIOQUIA;376;LA CEJA;20/03/20
05380;05;ANTIOQUIA;380;LA ESTRELLA;14/03/20
05390;05;ANTIOQUIA;390;LA PINTADA;13/07/20
05400;05;ANTIOQUIA;400;LA UNIÓN;4/07/20
05411;05;ANTIOQUIA;411;LIBORINA;6/07/20
05425;05;ANTIOQUIA;425;MACEO;20/05/20
05440;05;ANTIOQUIA;440;MARINILLA;16/05/20
05467;05;ANTIOQUIA;467;MONTEBELLO;19/03/20
